"lookup_key","pkgNr","pkgCode","DAP","NPK","Urea"
"E29.58N-1.55",1,"red",166,227,269
"E29.5N-1.51",1,"red",166,227,269
"E29.65N-1.41",1,"red",166,227,269
"E29.6N-1.4",1,"red",166,227,269
"E29.6N-1.39",1,"red",166,227,269
"E29.65N-1.39",1,"red",166,227,269
"E30.07N-1.52",1,"red",166,227,269
"E29.82N-1.51",1,"red",166,227,269
"E29.92N-1.51",1,"red",166,227,269
"E29.79N-1.5",1,"red",166,227,269
"E29.91N-1.5",1,"red",166,227,269
"E29.81N-1.48",1,"red",166,227,269
"E29.81N-1.47",1,"red",166,227,269
"E29.81N-1.46",1,"red",166,227,269
"E29.8N-1.4",1,"red",166,227,269
"E29.32N-1.62",1,"red",166,227,269
"E29.33N-1.62",1,"red",166,227,269
"E29.58N-1.49",1,"red",166,227,269
"E29.58N-1.48",1,"red",166,227,269
"E29.73N-1.4",1,"red",166,227,269
"E29.3N-2.49",1,"red",166,227,269
"E29.12N-2.48",1,"red",166,227,269
"E29.21N-2.48",1,"red",166,227,269
"E29.31N-2.48",1,"red",166,227,269
"E29.9N-1.53",1,"red",166,227,269
"E29.95N-1.48",1,"red",166,227,269
"E29.33N-2.42",1,"red",166,227,269
"E29.34N-2.42",1,"red",166,227,269
"E29.57N-1.49",1,"red",166,227,269
"E29.57N-1.48",1,"red",166,227,269
"E29.7N-1.46",1,"red",166,227,269
"E29.71N-1.46",1,"red",166,227,269
"E29.71N-1.45",1,"red",166,227,269
"E29.72N-1.45",1,"red",166,227,269
"E29.7N-1.42",1,"red",166,227,269
"E29.41N-2.57",1,"red",166,227,269
"E29.43N-2.57",1,"red",166,227,269
"E29.44N-2.57",1,"red",166,227,269
"E29.42N-2.56",1,"red",166,227,269
"E29.44N-2.56",1,"red",166,227,269
"E29.58N-2.54",1,"red",166,227,269
"E29.59N-2.54",1,"red",166,227,269
"E29.23N-2.52",1,"red",166,227,269
"E29.38N-2.52",1,"red",166,227,269
"E29.2N-2.51",1,"red",166,227,269
"E29.38N-2.51",1,"red",166,227,269
"E29.22N-2.5",1,"red",166,227,269
